_time,value,resourceName
12/28/24 20:00,13.54,Temperature
12/29/24 0:00,12.38,Temperature
12/29/24 4:00,11.78,Temperature
12/29/24 8:00,11.67,Temperature
12/29/24 12:00,16.59,Temperature
12/29/24 16:00,17.43,Temperature
12/29/24 20:00,13.34,Temperature
12/30/24 0:00,11.58,Temperature
12/30/24 4:00,10.54,Temperature
12/30/24 8:00,10.17,Temperature
12/30/24 12:00,15.98,Temperature
12/30/24 16:00,16.49,Temperature
12/30/24 20:00,14.07,Temperature
12/31/24 0:00,12.17,Temperature
12/31/24 4:00,10.29,Temperature
12/31/24 8:00,9.6,Temperature
12/31/24 12:00,15.26,Temperature
12/31/24 16:00,16.08,Temperature
12/31/24 20:00,13.96,Temperature
1/1/25 0:00,13.2,Temperature
1/1/25 4:00,12.15,Temperature
1/1/25 8:00,11.76,Temperature
1/1/25 12:00,16.97,Temperature
1/1/25 16:00,16.63,Temperature
1/1/25 20:00,14.55,Temperature
1/2/25 0:00,13.79,Temperature
1/2/25 4:00,13.09,Temperature
1/2/25 8:00,13.38,Temperature
1/2/25 12:00,17.51,Temperature
1/2/25 16:00,16.79,Temperature
1/2/25 20:00,14.63,Temperature
1/3/25 0:00,12.2,Temperature
1/3/25 4:00,11.34,Temperature
1/3/25 8:00,10.63,Temperature
1/3/25 12:00,15.62,Temperature
1/3/25 16:00,17.64,Temperature
1/3/25 20:00,14.27,Temperature
1/4/25 0:00,14.17,Temperature
1/4/25 4:00,14.06,Temperature
1/4/25 8:00,13.96,Temperature
1/4/25 12:00,17.13,Temperature
1/4/25 16:00,16.86,Temperature
1/4/25 20:00,15.07,Temperature
1/5/25 0:00,13.76,Temperature
1/5/25 4:00,13.17,Temperature
1/5/25 8:00,12.52,Temperature
1/5/25 12:00,17.27,Temperature
1/5/25 16:00,19.41,Temperature
1/5/25 20:00,15.34,Temperature
1/6/25 0:00,13.6,Temperature
1/6/25 4:00,12.48,Temperature
1/6/25 8:00,13,Temperature
1/6/25 12:00,17.44,Temperature
1/6/25 16:00,18.93,Temperature
1/6/25 20:00,16.45,Temperature
1/7/25 0:00,15.02,Temperature
1/7/25 4:00,13.5,Temperature
1/7/25 8:00,12.43,Temperature
1/7/25 12:00,17.49,Temperature
1/7/25 16:00,17.05,Temperature
1/7/25 20:00,14.99,Temperature
1/8/25 0:00,14.26,Temperature
1/8/25 4:00,12.82,Temperature
1/8/25 8:00,11.75,Temperature
1/8/25 12:00,16.61,Temperature
1/8/25 16:00,17.59,Temperature
1/8/25 20:00,13.95,Temperature
1/9/25 0:00,11.75,Temperature
1/9/25 4:00,11.28,Temperature
1/9/25 8:00,11.06,Temperature
1/9/25 12:00,17.38,Temperature
1/9/25 16:00,18.74,Temperature
1/9/25 20:00,16.69,Temperature
1/10/25 0:00,14.23,Temperature
1/10/25 4:00,14.9,Temperature
1/10/25 8:00,14.26,Temperature
1/10/25 12:00,18.45,Temperature
1/10/25 16:00,18.75,Temperature
1/10/25 20:00,16.22,Temperature
1/11/25 0:00,14.91,Temperature
1/11/25 4:00,14.35,Temperature
1/11/25 8:00,13.43,Temperature
1/11/25 12:00,18.04,Temperature
1/11/25 16:00,18.08,Temperature
1/11/25 20:00,16.61,Temperature
1/12/25 0:00,15.84,Temperature
1/12/25 4:00,14.79,Temperature
1/12/25 8:00,14.76,Temperature
1/12/25 12:00,16.41,Temperature
1/12/25 16:00,15.61,Temperature
1/12/25 20:00,12.92,Temperature
1/13/25 0:00,12.94,Temperature
1/13/25 4:00,11.89,Temperature
1/13/25 8:00,11.78,Temperature
1/13/25 12:00,13.19,Temperature
1/13/25 16:00,12.95,Temperature
1/13/25 20:00,12.34,Temperature
1/14/25 0:00,11.32,Temperature
1/14/25 4:00,11.39,Temperature
1/14/25 8:00,12.12,Temperature
1/14/25 12:00,13.51,Temperature
1/14/25 16:00,14.64,Temperature
1/14/25 20:00,13.58,Temperature
1/15/25 0:00,13.44,Temperature
1/15/25 4:00,12,Temperature
1/15/25 8:00,11.56,Temperature
1/15/25 12:00,14.09,Temperature
1/15/25 16:00,14.62,Temperature
1/15/25 20:00,11.58,Temperature
1/16/25 0:00,11.83,Temperature
1/16/25 4:00,11.4,Temperature
1/16/25 8:00,10.51,Temperature
1/16/25 12:00,14.53,Temperature
1/16/25 16:00,15.62,Temperature
1/16/25 20:00,12.6,Temperature
1/17/25 0:00,12.9,Temperature
1/17/25 4:00,13.67,Temperature
1/17/25 8:00,13.96,Temperature
1/17/25 12:00,16.68,Temperature
1/17/25 16:00,13.13,Temperature
1/17/25 20:00,11.41,Temperature
1/18/25 0:00,12.94,Temperature
1/18/25 4:00,12.54,Temperature
1/18/25 8:00,12.14,Temperature
1/18/25 12:00,14.38,Temperature
1/18/25 16:00,14.79,Temperature
1/18/25 20:00,13.17,Temperature
1/19/25 0:00,12.89,Temperature
1/19/25 4:00,11.27,Temperature
1/19/25 8:00,10.69,Temperature
1/19/25 12:00,16.27,Temperature
1/19/25 16:00,17.12,Temperature
1/19/25 20:00,13.3,Temperature
1/20/25 0:00,12.81,Temperature
1/20/25 4:00,12.41,Temperature
1/20/25 8:00,11.79,Temperature
1/20/25 12:00,16.18,Temperature
1/20/25 16:00,17.11,Temperature
1/20/25 20:00,13.7,Temperature
1/21/25 0:00,11.86,Temperature
1/21/25 4:00,9.86,Temperature
1/21/25 8:00,9.55,Temperature
1/21/25 12:00,16.21,Temperature
1/21/25 16:00,17.28,Temperature
1/21/25 20:00,15.97,Temperature
1/22/25 0:00,13.13,Temperature
1/22/25 4:00,11.7,Temperature
1/22/25 8:00,12.41,Temperature
1/22/25 12:00,18.76,Temperature
1/22/25 16:00,20.08,Temperature
1/22/25 20:00,15.35,Temperature
1/23/25 0:00,14.28,Temperature
1/23/25 4:00,14.63,Temperature
1/23/25 8:00,14.35,Temperature
1/23/25 12:00,19.42,Temperature
1/23/25 16:00,19.61,Temperature
1/23/25 20:00,15.23,Temperature
1/24/25 0:00,13.26,Temperature
1/24/25 4:00,12.9,Temperature
1/24/25 8:00,13.06,Temperature
1/24/25 12:00,19.13,Temperature
1/24/25 16:00,19.64,Temperature
1/24/25 20:00,15,Temperature
1/25/25 0:00,12.76,Temperature
1/25/25 4:00,12.22,Temperature
1/25/25 8:00,10.92,Temperature
1/25/25 12:00,19.01,Temperature
1/25/25 16:00,18.62,Temperature
1/25/25 20:00,16.88,Temperature
1/26/25 0:00,15.34,Temperature
1/26/25 4:00,15.87,Temperature
1/26/25 8:00,14.13,Temperature
1/26/25 12:00,18.68,Temperature
1/26/25 16:00,19.5,Temperature
1/26/25 20:00,15.4,Temperature
1/27/25 0:00,14.25,Temperature
1/27/25 4:00,12.91,Temperature
1/27/25 8:00,13.1,Temperature
1/27/25 12:00,19.01,Temperature
1/27/25 16:00,20.15,Temperature
1/27/25 20:00,15.72,Temperature
1/28/25 0:00,15.27,Temperature
1/28/25 4:00,15.06,Temperature
1/28/25 8:00,15.61,Temperature
1/28/25 12:00,19.36,Temperature
1/28/25 16:00,18.83,Temperature
1/28/25 20:00,16.2,Temperature
1/29/25 0:00,14.88,Temperature
1/29/25 4:00,13.25,Temperature
1/29/25 8:00,12.4,Temperature
1/29/25 12:00,15.73,Temperature
1/29/25 16:00,16.39,Temperature
1/29/25 20:00,14.09,Temperature
1/30/25 0:00,12.65,Temperature
1/30/25 4:00,11.47,Temperature
1/30/25 8:00,11.48,Temperature
1/30/25 12:00,17.18,Temperature
1/30/25 16:00,18.94,Temperature
1/30/25 20:00,14.54,Temperature
1/31/25 0:00,13.7,Temperature
1/31/25 4:00,11.21,Temperature
1/31/25 8:00,11.34,Temperature
