Timestamp,Indoor_Temp_C,Indoor_Humidity_Percent
11/30/24 16:00,17.03,52.45
11/30/24 20:00,14.34,69.4
12/1/24 0:00,13.68,69.44
12/1/24 4:00,13,73.43
12/1/24 8:00,14.11,76.08
12/1/24 12:00,17.51,44.96
12/1/24 16:00,17.61,49.58
12/1/24 20:00,14.84,65.45
12/2/24 0:00,14.03,71.62
12/2/24 4:00,13.46,77.19
12/2/24 8:00,13.57,84.05
12/2/24 12:00,18.01,53.31
12/2/24 16:00,17.96,54.33
12/2/24 20:00,16.14,68.01
12/3/24 0:00,15.36,80.05
12/3/24 4:00,15.96,85.33
12/3/24 8:00,16.15,83.02
12/3/24 12:00,18.4,69.39
12/3/24 16:00,18.84,60.54
12/3/24 20:00,16.5,76.83
12/4/24 0:00,15,82.76
12/4/24 4:00,15.19,86.46
12/4/24 8:00,14.3,83.98
12/4/24 12:00,17.73,63.15
12/4/24 16:00,18.05,70.91
12/4/24 20:00,15.84,85.29
12/5/24 0:00,15.19,80.32
12/5/24 4:00,14.54,78.23
12/5/24 8:00,14.57,67.89
12/5/24 12:00,16.55,57.5
12/5/24 16:00,16.47,53.44
12/5/24 20:00,14.91,56.19
12/6/24 0:00,15.66,59.32
12/6/24 4:00,14.61,57.53
12/6/24 8:00,14.43,59.75
12/6/24 12:00,17.92,53.08
12/6/24 16:00,17.45,68.66
12/6/24 20:00,17.32,59.42
12/7/24 0:00,17.49,70.53
12/7/24 4:00,17.6,68.28
12/7/24 8:00,17.56,75.78
12/7/24 12:00,19.48,50.76
12/7/24 16:00,18.53,56.1
12/7/24 20:00,16.12,82.01
12/8/24 0:00,16.85,73.98
12/8/24 4:00,15.91,78.52
12/8/24 8:00,14.27,75.72
12/8/24 12:00,15.73,55.47
12/8/24 16:00,14.33,67.92
12/8/24 20:00,13.47,67.16
12/9/24 0:00,12.6,66.99
12/9/24 4:00,11.76,67.94
12/9/24 8:00,11.58,69.58
12/9/24 12:00,15.83,51.83
12/9/24 16:00,16.62,49.64
12/9/24 20:00,13.02,71.15
12/10/24 0:00,11.99,76.83
12/10/24 4:00,11.22,76.06
12/10/24 8:00,10.76,72.33
12/10/24 12:00,15.88,48.49
12/10/24 16:00,15.67,52.35
12/10/24 20:00,12.97,67.66
12/11/24 0:00,10.31,78.99
12/11/24 4:00,8.98,80.9
12/11/24 8:00,8.77,75.77
12/11/24 12:00,15.37,53.87
12/11/24 16:00,16.28,64.36
12/11/24 20:00,13.63,84.13
12/12/24 0:00,11.97,77.12
12/12/24 4:00,14.15,83.4
12/12/24 8:00,15.25,84.6
12/12/24 12:00,18.46,74.68
12/12/24 16:00,18.93,68.81
12/12/24 20:00,16.93,85.11
12/13/24 0:00,14.72,89.27
12/13/24 4:00,14.59,90.48
12/13/24 8:00,14.24,90.01
12/13/24 12:00,17.51,74.88
12/13/24 16:00,19.19,66.73
12/13/24 20:00,15.59,78.79
12/14/24 0:00,13.18,86.87
12/14/24 4:00,11.37,89.01
12/14/24 8:00,11.86,84.91
12/14/24 12:00,17.51,63.74
12/14/24 16:00,18.88,54.7
12/14/24 20:00,15.68,74.57
12/15/24 0:00,13.91,79.26
12/15/24 4:00,13.85,80.35
12/15/24 8:00,13.8,81.4
12/15/24 12:00,15.6,65.24
12/15/24 16:00,14.42,62.04
12/15/24 20:00,13.64,65.1
12/16/24 0:00,13.72,71.7
12/16/24 4:00,13.26,74.76
12/16/24 8:00,13.79,74.04
12/16/24 12:00,17.38,47.25
12/16/24 16:00,16.74,55.58
12/16/24 20:00,14.42,70.91
12/17/24 0:00,13.9,74.9
12/17/24 4:00,13.02,74.44
12/17/24 8:00,12.75,76.2
12/17/24 12:00,16.77,65.91
12/17/24 16:00,16.22,61.78
12/17/24 20:00,14.62,72.75
12/18/24 0:00,12.04,84.83
12/18/24 4:00,11.15,83.19
12/18/24 8:00,9.77,84.14
12/18/24 12:00,15.59,64.61
12/18/24 16:00,17.01,70.11
12/18/24 20:00,13.45,80.54
12/19/24 0:00,12.54,80.45
12/19/24 4:00,11.13,79.34
12/19/24 8:00,11.28,73.56
12/19/24 12:00,16.81,57.12
12/19/24 16:00,17.03,52.48
12/19/24 20:00,14.95,64.03
12/20/24 0:00,16.45,58.53
12/20/24 4:00,17.03,67.97
12/20/24 8:00,15.24,75.11
12/20/24 12:00,16.18,59.89
12/20/24 16:00,15.89,47.64
12/20/24 20:00,15.16,51.58
12/21/24 0:00,14.25,57.12
12/21/24 4:00,13.97,57.81
12/21/24 8:00,14.42,59.89
12/21/24 12:00,16.1,52.41
12/21/24 16:00,15.92,54.32
12/21/24 20:00,13.9,66.66
12/22/24 0:00,13.56,77.04
12/22/24 4:00,13.54,77.42
12/22/24 8:00,13.27,77.69
12/22/24 12:00,16.14,68.62
